CatchIDN,DwnCatchIDN,Watershed,rep_x,rep_y
2,123623,Aliso,-117.73780313091707,33.52381598789803
3,123622,Aliso,-117.73360398956466,33.5483575160772
6,223,Aliso,-117.74031531262716,33.55325100417944
8,297,Aliso,-117.68776603369805,33.59126916295193
123654,12,Aliso,-117.67169296019108,33.62494080763052
13,123546,Aliso,-117.66300807214483,33.62672794933112
14,123546,Aliso,-117.66699876250044,33.62538351937083
17,18,Aliso,-117.64173085665372,33.654377473096005
18,236,Aliso,-117.64453327075569,33.6547908611615
19,200,Aliso,-117.64680102421599,33.651440412982936
20,200,Aliso,-117.64609055608159,33.657132261487114
21,367,Aliso,-117.63805120538811,33.65849396254886
23,10,Aliso,-117.6219536898059,33.686312802066325
29,22,Aliso,-117.63100773388965,33.66342654718162
30,123626,Aliso,-117.67717903116689,33.62873778664232
32,332,Aliso,-117.6671144681606,33.65700154469921
35,332,Aliso,-117.67145837445237,33.641751852249946
36,191,Aliso,-117.67528282098291,33.65105861212234
37,38,Aliso,-117.68710061730772,33.62943011971889
38,241,Aliso,-117.69067901235556,33.62579306635015
40,197,Aliso,-117.69576212103674,33.61887546874825
42,242,Aliso,-117.68054352628059,33.62363693934252
43,48,Aliso,-117.68378541620646,33.610653622957884
44,45,Aliso,-117.6824289459406,33.616529017747425
46,47,Aliso,-117.68617184690878,33.61258893770557
47,48,Aliso,-117.69045457776454,33.612967590270756
50,244,Aliso,-117.69947161808007,33.6193875405928
51,50,Aliso,-117.69739614374633,33.621850519101756
52,88,Aliso,-117.70643922534923,33.61081668758983
53,244,Aliso,-117.70820591609937,33.61577652684569
54,52,Aliso,-117.71062184271527,33.61390630584922
55,52,Aliso,-117.70190482916496,33.61279616651261
57,208,Aliso,-117.72875681488128,33.59048764456547
58,60,Aliso,-117.72793674605681,33.59776260778735
60,59,Aliso,-117.72406390765568,33.59296193479176
61,77,Aliso,-117.72009144569708,33.600253236794785
62,217,Aliso,-117.74343101088574,33.58137979252618
63,125,Aliso,-117.73284745251259,33.56296782731967
64,101,Aliso,-117.73461731917574,33.56706320942851
66,243,Aliso,-117.68448283144662,33.605410712908636
67,69,Aliso,-117.69907769399886,33.594556701702984
68,175,Aliso,-117.69154622314443,33.596237192571195
69,184,Aliso,-117.70338538884619,33.593118288813514
73,304,Aliso,-117.70754155809786,33.591926631583995
76,77,Aliso,-117.70651486387167,33.602828937506786
78,77,Aliso,-117.72103811277111,33.60385521677033
79,342,Aliso,-117.71963817870062,33.59736308643722
80,15,Aliso,-117.66992338244214,33.6333530857323
83,84,Aliso,-117.67978310495155,33.63811764820154
84,85,Aliso,-117.67775896461814,33.636566699487034
86,37,Aliso,-117.68285054311932,33.633929050258956
87,88,Aliso,-117.70272460722569,33.60813325312313
88,257,Aliso,-117.71075468343491,33.6098386960589
89,308,Aliso,-117.73423409033563,33.583632574082856
90,91,Aliso,-117.73043419906278,33.585155075179856
91,365,Aliso,-117.72612805175737,33.57950937331007
92,97,Aliso,-117.72226227049973,33.58370884497998
94,98,Aliso,-117.72849895061034,33.57200257325009
95,94,Aliso,-117.7322166230118,33.57367872107557
96,346,Aliso,-117.73618496084474,33.578907529280755
98,344,Aliso,-117.72471726556483,33.57292108175582
99,123518,Aliso,-117.72139074104848,33.55674495851618
100,98,Aliso,-117.72601610806737,33.56749781007352
101,313,Aliso,-117.7306451079086,33.56710660613569
102,155,Aliso,-117.71252309463523,33.56745945027208
103,104,Aliso,-117.70455787532444,33.57781456326691
104,105,Aliso,-117.70316493911902,33.573825991486295
105,316,Aliso,-117.70716693158843,33.57244308993374
106,105,Aliso,-117.70849411080594,33.57595355024513
107,103,Aliso,-117.70455035939221,33.58047816820797
108,109,Aliso,-117.69312478346029,33.584022742520666
109,103,Aliso,-117.69999388945297,33.57948038925102
110,108,Aliso,-117.68960828288749,33.581586090521114
111,261,Aliso,-117.70885250871274,33.56729499561612
112,316,Aliso,-117.70245283838076,33.568099080680526
113,112,Aliso,-117.69949639297678,33.56844021700316
115,247,Aliso,-117.68310810769049,33.578751778692876
116,115,Aliso,-117.68255494700955,33.583136351659036
117,209,Aliso,-117.68608507694186,33.572144286591126
118,170,Aliso,-117.68641098919272,33.56515710669147
119,117,Aliso,-117.68217209000389,33.57553882377162
120,250,Aliso,-117.74008865246063,33.567342150865066
121,249,Aliso,-117.74152650961464,33.57687447282549
123,124,Aliso,-117.7367517052216,33.5705481896632
124,250,Aliso,-117.73809367738875,33.56616547975658
127,317,Aliso,-117.69952678498538,33.56058856583485
